filtrar domingo (7)									
DIA	fecha	clase1	clase2						
1	2021-05-24	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-05-25	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-05-26	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-05-27	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-05-28	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-05-29	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-05-30								
1	2021-05-31	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-06-01	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-06-02	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-06-03	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
